n	N	feature_type	time	unique
19	100	1_Dminpl	0.528386	100
19	200	1_Dminpl	0.710105	200
19	300	1_Dminpl	1.16028	300
19	400	1_Dminpl	1.21586	400
19	500	1_Dminpl	1.42932	500
19	600	1_Dminpl	1.70249	599
19	700	1_Dminpl	2.1474	699
19	800	1_Dminpl	2.42637	799
19	900	1_Dminpl	2.44754	899
19	1000	1_Dminpl	3.00319	999
19	2000	1_Dminpl	39.4831	1993
19	3000	1_Dminpl	65.1503	2984
19	4000	1_Dminpl	93.8773	3976
19	5000	1_Dminpl	110.803	4963
19	6000	1_Dminpl	145.852	5946
19	7000	1_Dminpl	167.634	6928
19	8000	1_Dminpl	197.218	7902
19	9000	1_Dminpl	237.433	8874
19	10000	1_Dminpl	282.31	9843
