n	N	feature_type	time	unique
13	100	1_Dminpl	0.484053	95
13	200	1_Dminpl	1.04146	181
13	300	1_Dminpl	1.42797	264
13	400	1_Dminpl	1.63761	343
13	500	1_Dminpl	2.08252	412
13	600	1_Dminpl	3.01096	480
13	700	1_Dminpl	1.94702	535
13	800	1_Dminpl	2.69116	589
13	900	1_Dminpl	2.87481	640
13	1000	1_Dminpl	3.36192	693
13	2000	1_Dminpl	35.2031	1025
13	3000	1_Dminpl	38.6663	1178
13	4000	1_Dminpl	37.5165	1238
13	5000	1_Dminpl	39.8593	1268
13	6000	1_Dminpl	38.7662	1284
13	7000	1_Dminpl	38.5728	1294
13	8000	1_Dminpl	40.6226	1296
13	9000	1_Dminpl	38.0554	1299
13	10000	1_Dminpl	38.6964	1300
