n	N	feature_type	time	unique
10	100	1_Dminpl	0.893003	71
10	200	1_Dminpl	1.07085	91
10	300	1_Dminpl	1.14928	99
10	400	1_Dminpl	1.10456	104
10	500	1_Dminpl	1.08569	106
10	600	1_Dminpl	1.04122	106
10	700	1_Dminpl	1.14356	106
10	800	1_Dminpl	0.953129	106
10	900	1_Dminpl	1.06133	106
10	1000	1_Dminpl	1.08411	106
10	2000	1_Dminpl	10.4356	106
10	3000	1_Dminpl	9.50408	106
10	4000	1_Dminpl	8.34247	106
10	5000	1_Dminpl	7.97049	106
10	6000	1_Dminpl	8.24614	106
10	7000	1_Dminpl	8.14714	106
10	8000	1_Dminpl	8.53553	106
10	9000	1_Dminpl	7.96783	106
10	10000	1_Dminpl	8.02315	106
