n	N	feature_type	time	unique
25	100	1_Dminpl	0.569661	100
25	200	1_Dminpl	0.791798	200
25	300	1_Dminpl	0.854935	300
25	400	1_Dminpl	1.03859	400
25	500	1_Dminpl	1.33766	500
25	600	1_Dminpl	1.36761	600
25	700	1_Dminpl	1.73599	700
25	800	1_Dminpl	1.76392	800
25	900	1_Dminpl	2.10234	900
25	1000	1_Dminpl	1.7168	1000
25	2000	1_Dminpl	27.4135	2000
25	3000	1_Dminpl	43.6066	3000
25	4000	1_Dminpl	59.649	4000
25	5000	1_Dminpl	77.9868	5000
25	6000	1_Dminpl	104.619	6000
25	7000	1_Dminpl	123.167	7000
25	8000	1_Dminpl	144.65	8000
25	9000	1_Dminpl	163.967	9000
25	10000	1_Dminpl	190.868	10000
