n	N	feature_type	time	unique
18	100	1_Dminpl	0.530879	100
18	200	1_Dminpl	0.696484	200
18	300	1_Dminpl	0.921522	300
18	400	1_Dminpl	1.45674	400
18	500	1_Dminpl	1.5999	499
18	600	1_Dminpl	2.00834	599
18	700	1_Dminpl	2.21354	698
18	800	1_Dminpl	2.48163	798
18	900	1_Dminpl	3.11319	898
18	1000	1_Dminpl	2.76232	998
18	2000	1_Dminpl	45.9709	1988
18	3000	1_Dminpl	72.2153	2970
18	4000	1_Dminpl	101.29	3942
18	5000	1_Dminpl	133.086	4898
18	6000	1_Dminpl	163.138	5865
18	7000	1_Dminpl	195.445	6816
18	8000	1_Dminpl	225.61	7755
18	9000	1_Dminpl	262.853	8669
18	10000	1_Dminpl	295.839	9599
