n	N	feature_type	time	unique
16	100	1_Dminpl	0.646925	100
16	200	1_Dminpl	0.795352	197
16	300	1_Dminpl	1.17329	296
16	400	1_Dminpl	1.80724	394
16	500	1_Dminpl	2.04512	493
16	600	1_Dminpl	1.9659	589
16	700	1_Dminpl	2.66028	687
16	800	1_Dminpl	2.67605	786
16	900	1_Dminpl	2.89549	881
16	1000	1_Dminpl	3.52226	980
16	2000	1_Dminpl	50.6077	1912
16	3000	1_Dminpl	76.4696	2801
16	4000	1_Dminpl	105.55	3634
16	5000	1_Dminpl	131.269	4418
16	6000	1_Dminpl	149.629	5172
16	7000	1_Dminpl	158.287	5898
16	8000	1_Dminpl	191.467	6586
16	9000	1_Dminpl	216.663	7227
16	10000	1_Dminpl	235.266	7836
