n	N	feature_type	time	unique
15	100	1_Dminpl	0.421891	100
15	200	1_Dminpl	0.926228	198
15	300	1_Dminpl	1.17499	293
15	400	1_Dminpl	1.65165	386
15	500	1_Dminpl	2.12184	475
15	600	1_Dminpl	2.43293	569
15	700	1_Dminpl	3.02201	667
15	800	1_Dminpl	2.83294	758
15	900	1_Dminpl	3.48167	847
15	1000	1_Dminpl	3.98803	927
15	2000	1_Dminpl	53.0894	1733
15	3000	1_Dminpl	74.6126	2451
15	4000	1_Dminpl	88.6367	3095
15	5000	1_Dminpl	109.235	3674
15	6000	1_Dminpl	116.019	4160
15	7000	1_Dminpl	122.76	4575
15	8000	1_Dminpl	129.601	4969
15	9000	1_Dminpl	138.738	5316
15	10000	1_Dminpl	141.943	5582
