n	N	feature_type	time	unique
500	100	1_Dminpl	7.1323	100
500	200	1_Dminpl	7.18558	200
500	300	1_Dminpl	7.25002	300
500	400	1_Dminpl	7.44901	400
500	500	1_Dminpl	7.51027	500
500	600	1_Dminpl	7.61255	600
500	700	1_Dminpl	7.7554	700
500	800	1_Dminpl	7.86439	800
500	900	1_Dminpl	8.12835	900
500	1000	1_Dminpl	8.18717	1000
500	2000	1_Dminpl	85.4806	2000
500	3000	1_Dminpl	95.026	3000
500	4000	1_Dminpl	104.223	4000
500	5000	1_Dminpl	114.326	5000
500	6000	1_Dminpl	124.236	6000
500	7000	1_Dminpl	132.681	7000
500	8000	1_Dminpl	143.261	8000
500	9000	1_Dminpl	151.436	9000
500	10000	1_Dminpl	162.774	10000
