n	N	feature_type	time	unique
50	100	1_Dminpl	0.966326	100
50	200	1_Dminpl	0.975434	200
50	300	1_Dminpl	1.09584	300
50	400	1_Dminpl	1.24168	400
50	500	1_Dminpl	1.21683	500
50	600	1_Dminpl	1.41871	600
50	700	1_Dminpl	1.33986	700
50	800	1_Dminpl	1.40579	800
50	900	1_Dminpl	1.54366	900
50	1000	1_Dminpl	1.6377	1000
50	2000	1_Dminpl	22.4596	2000
50	3000	1_Dminpl	35.3131	3000
50	4000	1_Dminpl	47.5455	4000
50	5000	1_Dminpl	62.5597	5000
50	6000	1_Dminpl	76.5559	6000
50	7000	1_Dminpl	88.4786	7000
50	8000	1_Dminpl	102.894	8000
50	9000	1_Dminpl	115.394	9000
50	10000	1_Dminpl	132.76	10000
