n	N	feature_type	time	unique
17	100	1_Dminpl	0.455611	99
17	200	1_Dminpl	0.808306	199
17	300	1_Dminpl	1.19994	298
17	400	1_Dminpl	1.49874	398
17	500	1_Dminpl	1.64366	497
17	600	1_Dminpl	2.02582	595
17	700	1_Dminpl	1.91113	692
17	800	1_Dminpl	2.66104	790
17	900	1_Dminpl	3.07145	890
17	1000	1_Dminpl	3.23881	989
17	2000	1_Dminpl	45.8746	1967
17	3000	1_Dminpl	73.3446	2917
17	4000	1_Dminpl	100.884	3841
17	5000	1_Dminpl	123.819	4747
17	6000	1_Dminpl	157.885	5643
17	7000	1_Dminpl	179.662	6511
17	8000	1_Dminpl	212.037	7363
17	9000	1_Dminpl	240.959	8188
17	10000	1_Dminpl	266.029	9004
