n	N	feature_type	time	unique
12	100	1_Dminpl	0.603177	95
12	200	1_Dminpl	1.17983	174
12	300	1_Dminpl	1.46861	232
12	400	1_Dminpl	1.3952	286
12	500	1_Dminpl	2.11924	334
12	600	1_Dminpl	2.03621	367
12	700	1_Dminpl	2.07064	393
12	800	1_Dminpl	2.29488	417
12	900	1_Dminpl	2.59129	438
12	1000	1_Dminpl	2.16596	459
12	2000	1_Dminpl	22.2413	532
12	3000	1_Dminpl	23.4074	547
12	4000	1_Dminpl	23.374	551
12	5000	1_Dminpl	23.057	551
12	6000	1_Dminpl	22.8947	551
12	7000	1_Dminpl	23.5935	551
12	8000	1_Dminpl	22.9457	551
12	9000	1_Dminpl	22.331	551
12	10000	1_Dminpl	23.2317	551
