n	N	feature_type	time	unique
14	100	0	1.01941	97
14	200	0	2.18739	189
14	300	0	3.66981	275
14	400	0	5.36507	363
14	500	0	6.20354	455
14	600	0	7.15258	539
14	700	0	9.44063	622
14	800	0	10.1281	698
14	900	0	11.2823	774
14	1000	0	11.0112	847
14	2000	0	165.821	1473
14	3000	0	213.11	1923
14	4000	0	243.158	2249
14	5000	0	260.778	2493
14	6000	0	278.143	2685
14	7000	0	271.257	2818
14	8000	0	269.018	2913
14	9000	0	284.159	2987
14	10000	0	279.618	3038
