n	N	feature_type	time	unique
12	100	3_Dminpl_Cexp_Cvar	0.656722	95
12	200	3_Dminpl_Cexp_Cvar	0.689307	174
12	300	3_Dminpl_Cexp_Cvar	0.728554	232
12	400	3_Dminpl_Cexp_Cvar	0.725778	286
12	500	3_Dminpl_Cexp_Cvar	0.737904	334
12	600	3_Dminpl_Cexp_Cvar	0.878953	367
12	700	3_Dminpl_Cexp_Cvar	0.79935	393
12	800	3_Dminpl_Cexp_Cvar	0.806746	417
12	900	3_Dminpl_Cexp_Cvar	0.884498	438
12	1000	3_Dminpl_Cexp_Cvar	0.795779	459
12	2000	3_Dminpl_Cexp_Cvar	8.40698	532
12	3000	3_Dminpl_Cexp_Cvar	8.79223	547
12	4000	3_Dminpl_Cexp_Cvar	8.90851	551
12	5000	3_Dminpl_Cexp_Cvar	9.00918	551
12	6000	3_Dminpl_Cexp_Cvar	9.03837	551
12	7000	3_Dminpl_Cexp_Cvar	9.23707	551
12	8000	3_Dminpl_Cexp_Cvar	9.07171	551
12	9000	3_Dminpl_Cexp_Cvar	9.1095	551
12	10000	3_Dminpl_Cexp_Cvar	9.23161	551
