n	N	feature_type	time	unique
11	100	3_Dminpl_Cexp_Cvar	0.672399	84
11	200	3_Dminpl_Cexp_Cvar	0.748123	131
11	300	3_Dminpl_Cexp_Cvar	0.762517	173
11	400	3_Dminpl_Cexp_Cvar	0.763995	197
11	500	3_Dminpl_Cexp_Cvar	0.794563	211
11	600	3_Dminpl_Cexp_Cvar	0.830033	221
11	700	3_Dminpl_Cexp_Cvar	0.832246	227
11	800	3_Dminpl_Cexp_Cvar	0.848484	231
11	900	3_Dminpl_Cexp_Cvar	0.879876	232
11	1000	3_Dminpl_Cexp_Cvar	0.851627	232
11	2000	3_Dminpl_Cexp_Cvar	8.52236	235
11	3000	3_Dminpl_Cexp_Cvar	8.47993	235
11	4000	3_Dminpl_Cexp_Cvar	8.72694	235
11	5000	3_Dminpl_Cexp_Cvar	8.62163	235
11	6000	3_Dminpl_Cexp_Cvar	8.71445	235
11	7000	3_Dminpl_Cexp_Cvar	8.76974	235
11	8000	3_Dminpl_Cexp_Cvar	8.62331	235
11	9000	3_Dminpl_Cexp_Cvar	8.68136	235
11	10000	3_Dminpl_Cexp_Cvar	8.65584	235
