n	N	feature_type	time	unique
100	100	3_Dminpl_Cexp_Cvar	2.38876	100
100	200	3_Dminpl_Cexp_Cvar	2.45428	200
100	300	3_Dminpl_Cexp_Cvar	2.49717	300
100	400	3_Dminpl_Cexp_Cvar	2.54657	400
100	500	3_Dminpl_Cexp_Cvar	2.54305	500
100	600	3_Dminpl_Cexp_Cvar	2.59016	600
100	700	3_Dminpl_Cexp_Cvar	2.58758	700
100	800	3_Dminpl_Cexp_Cvar	2.62423	800
100	900	3_Dminpl_Cexp_Cvar	2.5716	900
100	1000	3_Dminpl_Cexp_Cvar	2.61753	1000
100	2000	3_Dminpl_Cexp_Cvar	26.1415	2000
100	3000	3_Dminpl_Cexp_Cvar	26.5375	3000
100	4000	3_Dminpl_Cexp_Cvar	26.3943	4000
100	5000	3_Dminpl_Cexp_Cvar	26.3113	5000
100	6000	3_Dminpl_Cexp_Cvar	26.2884	6000
100	7000	3_Dminpl_Cexp_Cvar	26.3592	7000
100	8000	3_Dminpl_Cexp_Cvar	26.5469	8000
100	9000	3_Dminpl_Cexp_Cvar	26.5037	9000
100	10000	3_Dminpl_Cexp_Cvar	26.3495	10000
