n	N	feature_type	time	unique
10	100	3_Dminpl_Cexp_Cvar	0.807838	71
10	200	3_Dminpl_Cexp_Cvar	0.881919	91
10	300	3_Dminpl_Cexp_Cvar	0.908716	99
10	400	3_Dminpl_Cexp_Cvar	0.908581	104
10	500	3_Dminpl_Cexp_Cvar	0.896439	106
10	600	3_Dminpl_Cexp_Cvar	0.902096	106
10	700	3_Dminpl_Cexp_Cvar	0.95711	106
10	800	3_Dminpl_Cexp_Cvar	0.928511	106
10	900	3_Dminpl_Cexp_Cvar	0.884437	106
10	1000	3_Dminpl_Cexp_Cvar	0.867377	106
10	2000	3_Dminpl_Cexp_Cvar	8.7143	106
10	3000	3_Dminpl_Cexp_Cvar	8.05307	106
10	4000	3_Dminpl_Cexp_Cvar	7.66917	106
10	5000	3_Dminpl_Cexp_Cvar	7.70766	106
10	6000	3_Dminpl_Cexp_Cvar	7.45796	106
10	7000	3_Dminpl_Cexp_Cvar	7.60992	106
10	8000	3_Dminpl_Cexp_Cvar	7.80186	106
10	9000	3_Dminpl_Cexp_Cvar	7.86977	106
10	10000	3_Dminpl_Cexp_Cvar	7.88504	106
