n	N	feature_type	time	unique
500	100	3_Dminpl_Cexp_Cvar	10.9414	100
500	200	3_Dminpl_Cexp_Cvar	10.9491	200
500	300	3_Dminpl_Cexp_Cvar	10.9295	300
500	400	3_Dminpl_Cexp_Cvar	10.8953	400
500	500	3_Dminpl_Cexp_Cvar	10.9063	500
500	600	3_Dminpl_Cexp_Cvar	10.8909	600
500	700	3_Dminpl_Cexp_Cvar	10.9278	700
500	800	3_Dminpl_Cexp_Cvar	10.9682	800
500	900	3_Dminpl_Cexp_Cvar	10.8875	900
500	1000	3_Dminpl_Cexp_Cvar	10.9244	1000
500	2000	3_Dminpl_Cexp_Cvar	109.896	2000
500	3000	3_Dminpl_Cexp_Cvar	109.888	3000
500	4000	3_Dminpl_Cexp_Cvar	110.127	4000
500	5000	3_Dminpl_Cexp_Cvar	110.005	5000
500	6000	3_Dminpl_Cexp_Cvar	109.901	6000
500	7000	3_Dminpl_Cexp_Cvar	110.445	7000
500	8000	3_Dminpl_Cexp_Cvar	110.292	8000
500	9000	3_Dminpl_Cexp_Cvar	110.531	9000
500	10000	3_Dminpl_Cexp_Cvar	110.731	10000
