n	N	feature_type	time	unique
16	100	3_Dminpl_Cexp_Cvar	0.710941	100
16	200	3_Dminpl_Cexp_Cvar	0.734357	197
16	300	3_Dminpl_Cexp_Cvar	0.688686	296
16	400	3_Dminpl_Cexp_Cvar	0.685506	394
16	500	3_Dminpl_Cexp_Cvar	0.733204	493
16	600	3_Dminpl_Cexp_Cvar	0.744774	589
16	700	3_Dminpl_Cexp_Cvar	0.730658	687
16	800	3_Dminpl_Cexp_Cvar	0.723598	786
16	900	3_Dminpl_Cexp_Cvar	0.774625	881
16	1000	3_Dminpl_Cexp_Cvar	0.754346	980
16	2000	3_Dminpl_Cexp_Cvar	7.95721	1912
16	3000	3_Dminpl_Cexp_Cvar	8.54824	2801
16	4000	3_Dminpl_Cexp_Cvar	9.14453	3634
16	5000	3_Dminpl_Cexp_Cvar	9.71713	4418
16	6000	3_Dminpl_Cexp_Cvar	10.0119	5172
16	7000	3_Dminpl_Cexp_Cvar	10.5998	5898
16	8000	3_Dminpl_Cexp_Cvar	10.5704	6586
16	9000	3_Dminpl_Cexp_Cvar	10.6972	7227
16	10000	3_Dminpl_Cexp_Cvar	11.5257	7836
