n	N	feature_type	time	unique
13	100	3_Dminpl_Cexp_Cvar	0.624275	95
13	200	3_Dminpl_Cexp_Cvar	0.637147	181
13	300	3_Dminpl_Cexp_Cvar	0.666139	264
13	400	3_Dminpl_Cexp_Cvar	0.627177	343
13	500	3_Dminpl_Cexp_Cvar	0.657466	412
13	600	3_Dminpl_Cexp_Cvar	0.746237	480
13	700	3_Dminpl_Cexp_Cvar	0.714483	535
13	800	3_Dminpl_Cexp_Cvar	0.704961	589
13	900	3_Dminpl_Cexp_Cvar	0.790509	640
13	1000	3_Dminpl_Cexp_Cvar	0.75773	693
13	2000	3_Dminpl_Cexp_Cvar	8.25289	1025
13	3000	3_Dminpl_Cexp_Cvar	8.79886	1178
13	4000	3_Dminpl_Cexp_Cvar	8.84964	1238
13	5000	3_Dminpl_Cexp_Cvar	9.09975	1268
13	6000	3_Dminpl_Cexp_Cvar	8.93482	1284
13	7000	3_Dminpl_Cexp_Cvar	9.54725	1294
13	8000	3_Dminpl_Cexp_Cvar	9.31764	1296
13	9000	3_Dminpl_Cexp_Cvar	8.92645	1299
13	10000	3_Dminpl_Cexp_Cvar	8.97155	1300
