n	N	feature_type	time	unique
200	100	3_Dminpl_Cexp_Cvar	4.68006	100
200	200	3_Dminpl_Cexp_Cvar	4.6967	200
200	300	3_Dminpl_Cexp_Cvar	4.74001	300
200	400	3_Dminpl_Cexp_Cvar	4.70331	400
200	500	3_Dminpl_Cexp_Cvar	4.68873	500
200	600	3_Dminpl_Cexp_Cvar	4.67375	600
200	700	3_Dminpl_Cexp_Cvar	4.73729	700
200	800	3_Dminpl_Cexp_Cvar	4.71857	800
200	900	3_Dminpl_Cexp_Cvar	4.71934	900
200	1000	3_Dminpl_Cexp_Cvar	4.69979	1000
200	2000	3_Dminpl_Cexp_Cvar	46.9178	2000
200	3000	3_Dminpl_Cexp_Cvar	47.0148	3000
200	4000	3_Dminpl_Cexp_Cvar	47.0475	4000
200	5000	3_Dminpl_Cexp_Cvar	47.1573	5000
200	6000	3_Dminpl_Cexp_Cvar	47.4831	6000
200	7000	3_Dminpl_Cexp_Cvar	47.0793	7000
200	8000	3_Dminpl_Cexp_Cvar	47.4588	8000
200	9000	3_Dminpl_Cexp_Cvar	47.2547	9000
200	10000	3_Dminpl_Cexp_Cvar	47.3791	10000
