n	N	feature_type	time	unique
50	100	3_Dminpl_Cexp_Cvar	1.62786	100
50	200	3_Dminpl_Cexp_Cvar	1.51192	200
50	300	3_Dminpl_Cexp_Cvar	1.39283	300
50	400	3_Dminpl_Cexp_Cvar	1.36055	400
50	500	3_Dminpl_Cexp_Cvar	1.3649	500
50	600	3_Dminpl_Cexp_Cvar	1.32596	600
50	700	3_Dminpl_Cexp_Cvar	1.45335	700
50	800	3_Dminpl_Cexp_Cvar	1.3301	800
50	900	3_Dminpl_Cexp_Cvar	1.28558	900
50	1000	3_Dminpl_Cexp_Cvar	1.30937	1000
50	2000	3_Dminpl_Cexp_Cvar	13.3639	2000
50	3000	3_Dminpl_Cexp_Cvar	13.5012	3000
50	4000	3_Dminpl_Cexp_Cvar	13.4714	4000
50	5000	3_Dminpl_Cexp_Cvar	13.6131	5000
50	6000	3_Dminpl_Cexp_Cvar	13.5407	6000
50	7000	3_Dminpl_Cexp_Cvar	13.4841	7000
50	8000	3_Dminpl_Cexp_Cvar	13.6875	8000
50	9000	3_Dminpl_Cexp_Cvar	13.603	9000
50	10000	3_Dminpl_Cexp_Cvar	13.6619	10000
