n	N	feature_type	time	unique
18	100	3_Dminpl_Cexp_Cvar	0.692256	100
18	200	3_Dminpl_Cexp_Cvar	0.746754	200
18	300	3_Dminpl_Cexp_Cvar	0.694789	300
18	400	3_Dminpl_Cexp_Cvar	0.780173	400
18	500	3_Dminpl_Cexp_Cvar	0.723783	499
18	600	3_Dminpl_Cexp_Cvar	0.679227	599
18	700	3_Dminpl_Cexp_Cvar	0.753145	698
18	800	3_Dminpl_Cexp_Cvar	0.683564	798
18	900	3_Dminpl_Cexp_Cvar	0.720417	898
18	1000	3_Dminpl_Cexp_Cvar	0.631071	998
18	2000	3_Dminpl_Cexp_Cvar	7.10462	1988
18	3000	3_Dminpl_Cexp_Cvar	7.46887	2970
18	4000	3_Dminpl_Cexp_Cvar	7.35673	3942
18	5000	3_Dminpl_Cexp_Cvar	7.7556	4898
18	6000	3_Dminpl_Cexp_Cvar	7.78909	5865
18	7000	3_Dminpl_Cexp_Cvar	8.03775	6816
18	8000	3_Dminpl_Cexp_Cvar	8.08923	7755
18	9000	3_Dminpl_Cexp_Cvar	8.48731	8669
18	10000	3_Dminpl_Cexp_Cvar	8.70914	9599
