n	N	feature_type	time	unique
25	100	3_Dminpl_Cexp_Cvar	0.877626	100
25	200	3_Dminpl_Cexp_Cvar	0.834218	200
25	300	3_Dminpl_Cexp_Cvar	0.888418	300
25	400	3_Dminpl_Cexp_Cvar	0.882173	400
25	500	3_Dminpl_Cexp_Cvar	0.884435	500
25	600	3_Dminpl_Cexp_Cvar	0.881	600
25	700	3_Dminpl_Cexp_Cvar	0.864611	700
25	800	3_Dminpl_Cexp_Cvar	0.909138	800
25	900	3_Dminpl_Cexp_Cvar	0.882203	900
25	1000	3_Dminpl_Cexp_Cvar	0.88717	1000
25	2000	3_Dminpl_Cexp_Cvar	9.04806	2000
25	3000	3_Dminpl_Cexp_Cvar	9.00806	3000
25	4000	3_Dminpl_Cexp_Cvar	9.15849	4000
25	5000	3_Dminpl_Cexp_Cvar	9.15062	5000
25	6000	3_Dminpl_Cexp_Cvar	9.09323	6000
25	7000	3_Dminpl_Cexp_Cvar	9.29624	7000
25	8000	3_Dminpl_Cexp_Cvar	9.32743	8000
25	9000	3_Dminpl_Cexp_Cvar	9.43555	9000
25	10000	3_Dminpl_Cexp_Cvar	9.42335	10000
