n	N	feature_type	time	unique
20	100	3_Dminpl_Cexp_Cvar	0.758537	100
20	200	3_Dminpl_Cexp_Cvar	0.750769	200
20	300	3_Dminpl_Cexp_Cvar	0.750574	300
20	400	3_Dminpl_Cexp_Cvar	0.775828	400
20	500	3_Dminpl_Cexp_Cvar	0.8063	500
20	600	3_Dminpl_Cexp_Cvar	0.746497	600
20	700	3_Dminpl_Cexp_Cvar	0.76351	700
20	800	3_Dminpl_Cexp_Cvar	0.763985	800
20	900	3_Dminpl_Cexp_Cvar	0.79506	900
20	1000	3_Dminpl_Cexp_Cvar	0.781719	1000
20	2000	3_Dminpl_Cexp_Cvar	8.02646	1998
20	3000	3_Dminpl_Cexp_Cvar	8.36625	2994
20	4000	3_Dminpl_Cexp_Cvar	8.42389	3991
20	5000	3_Dminpl_Cexp_Cvar	8.3444	4984
20	6000	3_Dminpl_Cexp_Cvar	8.81747	5976
20	7000	3_Dminpl_Cexp_Cvar	8.59577	6969
20	8000	3_Dminpl_Cexp_Cvar	8.73982	7961
20	9000	3_Dminpl_Cexp_Cvar	8.89983	8944
20	10000	3_Dminpl_Cexp_Cvar	9.21956	9932
