n	N	feature_type	time	unique
14	100	2_Dminpl_Cexp	0.622046	97
14	200	2_Dminpl_Cexp	0.9677	189
14	300	2_Dminpl_Cexp	1.32786	275
14	400	2_Dminpl_Cexp	1.85534	363
14	500	2_Dminpl_Cexp	2.19459	455
14	600	2_Dminpl_Cexp	2.21032	539
14	700	2_Dminpl_Cexp	2.74079	622
14	800	2_Dminpl_Cexp	2.67859	698
14	900	2_Dminpl_Cexp	3.33985	774
14	1000	2_Dminpl_Cexp	3.11633	847
14	2000	2_Dminpl_Cexp	43.9752	1473
14	3000	2_Dminpl_Cexp	54.0311	1923
14	4000	2_Dminpl_Cexp	61.6608	2249
14	5000	2_Dminpl_Cexp	64.5544	2493
14	6000	2_Dminpl_Cexp	67.8592	2685
14	7000	2_Dminpl_Cexp	69.211	2818
14	8000	2_Dminpl_Cexp	66.2661	2913
14	9000	2_Dminpl_Cexp	70.8392	2987
14	10000	2_Dminpl_Cexp	67.6798	3038
