n	N	feature_type	time	unique
13	100	2_Dminpl_Cexp	0.522799	95
13	200	2_Dminpl_Cexp	0.973993	181
13	300	2_Dminpl_Cexp	1.53265	264
13	400	2_Dminpl_Cexp	1.73914	343
13	500	2_Dminpl_Cexp	2.21417	412
13	600	2_Dminpl_Cexp	2.55886	480
13	700	2_Dminpl_Cexp	1.74089	535
13	800	2_Dminpl_Cexp	2.38469	589
13	900	2_Dminpl_Cexp	2.50415	640
13	1000	2_Dminpl_Cexp	3.3245	693
13	2000	2_Dminpl_Cexp	34.286	1025
13	3000	2_Dminpl_Cexp	37.9041	1178
13	4000	2_Dminpl_Cexp	37.2359	1238
13	5000	2_Dminpl_Cexp	38.8785	1268
13	6000	2_Dminpl_Cexp	38.5173	1284
13	7000	2_Dminpl_Cexp	38.2138	1294
13	8000	2_Dminpl_Cexp	39.7547	1296
13	9000	2_Dminpl_Cexp	37.3349	1299
13	10000	2_Dminpl_Cexp	37.5431	1300
