n	N	feature_type	time	unique
10	100	2_Dminpl_Cexp	2.29962	71
10	200	2_Dminpl_Cexp	3.29633	91
10	300	2_Dminpl_Cexp	3.14857	99
10	400	2_Dminpl_Cexp	3.32866	104
10	500	2_Dminpl_Cexp	2.75261	106
10	600	2_Dminpl_Cexp	2.51294	106
10	700	2_Dminpl_Cexp	1.79936	106
10	800	2_Dminpl_Cexp	1.5166	106
10	900	2_Dminpl_Cexp	1.35885	106
10	1000	2_Dminpl_Cexp	1.32355	106
10	2000	2_Dminpl_Cexp	10.4685	106
10	3000	2_Dminpl_Cexp	8.96458	106
10	4000	2_Dminpl_Cexp	8.06166	106
10	5000	2_Dminpl_Cexp	8.07021	106
10	6000	2_Dminpl_Cexp	7.92883	106
10	7000	2_Dminpl_Cexp	8.00826	106
10	8000	2_Dminpl_Cexp	8.3727	106
10	9000	2_Dminpl_Cexp	7.92637	106
10	10000	2_Dminpl_Cexp	8.18756	106
