n	N	feature_type	time	unique
25	100	2_Dminpl_Cexp	0.558997	100
25	200	2_Dminpl_Cexp	0.667337	200
25	300	2_Dminpl_Cexp	0.687431	300
25	400	2_Dminpl_Cexp	0.888893	400
25	500	2_Dminpl_Cexp	1.00138	500
25	600	2_Dminpl_Cexp	1.00772	600
25	700	2_Dminpl_Cexp	1.36279	700
25	800	2_Dminpl_Cexp	1.40388	800
25	900	2_Dminpl_Cexp	1.80546	900
25	1000	2_Dminpl_Cexp	1.70733	1000
25	2000	2_Dminpl_Cexp	20.5861	2000
25	3000	2_Dminpl_Cexp	30.7604	3000
25	4000	2_Dminpl_Cexp	41.1718	4000
25	5000	2_Dminpl_Cexp	48.9934	5000
25	6000	2_Dminpl_Cexp	62.4522	6000
25	7000	2_Dminpl_Cexp	73.3297	7000
25	8000	2_Dminpl_Cexp	84.2182	8000
25	9000	2_Dminpl_Cexp	92.2019	9000
25	10000	2_Dminpl_Cexp	109.901	10000
