n	N	feature_type	time	unique
500	100	2_Dminpl_Cexp	7.37441	100
500	200	2_Dminpl_Cexp	7.42335	200
500	300	2_Dminpl_Cexp	7.49588	300
500	400	2_Dminpl_Cexp	7.44423	400
500	500	2_Dminpl_Cexp	7.63001	500
500	600	2_Dminpl_Cexp	7.439	600
500	700	2_Dminpl_Cexp	7.54873	700
500	800	2_Dminpl_Cexp	7.41273	800
500	900	2_Dminpl_Cexp	7.53185	900
500	1000	2_Dminpl_Cexp	7.50119	1000
500	2000	2_Dminpl_Cexp	75.0729	2000
500	3000	2_Dminpl_Cexp	75.4701	3000
500	4000	2_Dminpl_Cexp	75.7502	4000
500	5000	2_Dminpl_Cexp	77.0093	5000
500	6000	2_Dminpl_Cexp	77.5911	6000
500	7000	2_Dminpl_Cexp	77.9148	7000
500	8000	2_Dminpl_Cexp	77.7479	8000
500	9000	2_Dminpl_Cexp	78.4116	9000
500	10000	2_Dminpl_Cexp	79.4943	10000
