n	N	feature_type	time	unique
11	100	2_Dminpl_Cexp	0.621942	84
11	200	2_Dminpl_Cexp	1.0928	131
11	300	2_Dminpl_Cexp	1.2857	173
11	400	2_Dminpl_Cexp	1.24819	197
11	500	2_Dminpl_Cexp	1.15489	211
11	600	2_Dminpl_Cexp	1.56305	221
11	700	2_Dminpl_Cexp	1.38604	227
11	800	2_Dminpl_Cexp	1.26824	231
11	900	2_Dminpl_Cexp	1.46878	232
11	1000	2_Dminpl_Cexp	1.25332	232
11	2000	2_Dminpl_Cexp	12.5503	235
11	3000	2_Dminpl_Cexp	11.983	235
11	4000	2_Dminpl_Cexp	13.1965	235
11	5000	2_Dminpl_Cexp	12.2556	235
11	6000	2_Dminpl_Cexp	13.0001	235
11	7000	2_Dminpl_Cexp	13.0855	235
11	8000	2_Dminpl_Cexp	12.3804	235
11	9000	2_Dminpl_Cexp	12.8293	235
11	10000	2_Dminpl_Cexp	12.416	235
