n	N	feature_type	time	unique
100	100	2_Dminpl_Cexp	1.78484	100
100	200	2_Dminpl_Cexp	1.80971	200
100	300	2_Dminpl_Cexp	1.67304	300
100	400	2_Dminpl_Cexp	1.77177	400
100	500	2_Dminpl_Cexp	1.80141	500
100	600	2_Dminpl_Cexp	1.80277	600
100	700	2_Dminpl_Cexp	1.70206	700
100	800	2_Dminpl_Cexp	1.7927	800
100	900	2_Dminpl_Cexp	1.8559	900
100	1000	2_Dminpl_Cexp	1.84294	1000
100	2000	2_Dminpl_Cexp	19.0839	2000
100	3000	2_Dminpl_Cexp	20.5529	3000
100	4000	2_Dminpl_Cexp	22.4388	4000
100	5000	2_Dminpl_Cexp	23.1345	5000
100	6000	2_Dminpl_Cexp	24.5363	6000
100	7000	2_Dminpl_Cexp	26.1793	7000
100	8000	2_Dminpl_Cexp	27.19	8000
100	9000	2_Dminpl_Cexp	27.6609	9000
100	10000	2_Dminpl_Cexp	30.2547	10000
