n	N	feature_type	time	unique
19	100	2_Dminpl_Cexp	0.721103	100
19	200	2_Dminpl_Cexp	0.685196	200
19	300	2_Dminpl_Cexp	1.09965	300
19	400	2_Dminpl_Cexp	1.00039	400
19	500	2_Dminpl_Cexp	1.30556	500
19	600	2_Dminpl_Cexp	1.37563	599
19	700	2_Dminpl_Cexp	1.79793	699
19	800	2_Dminpl_Cexp	2.04092	799
19	900	2_Dminpl_Cexp	2.02301	899
19	1000	2_Dminpl_Cexp	2.46397	999
19	2000	2_Dminpl_Cexp	32.4215	1993
19	3000	2_Dminpl_Cexp	52.5529	2984
19	4000	2_Dminpl_Cexp	72.3795	3976
19	5000	2_Dminpl_Cexp	81.7728	4963
19	6000	2_Dminpl_Cexp	107.235	5946
19	7000	2_Dminpl_Cexp	122.927	6928
19	8000	2_Dminpl_Cexp	144.674	7902
19	9000	2_Dminpl_Cexp	162.212	8874
19	10000	2_Dminpl_Cexp	188.159	9843
