n	N	feature_type	time	unique
16	100	2_Dminpl_Cexp	0.513789	100
16	200	2_Dminpl_Cexp	0.791945	197
16	300	2_Dminpl_Cexp	1.15389	296
16	400	2_Dminpl_Cexp	1.78922	394
16	500	2_Dminpl_Cexp	1.9273	493
16	600	2_Dminpl_Cexp	1.79819	589
16	700	2_Dminpl_Cexp	2.20063	687
16	800	2_Dminpl_Cexp	2.29839	786
16	900	2_Dminpl_Cexp	2.46801	881
16	1000	2_Dminpl_Cexp	3.20743	980
16	2000	2_Dminpl_Cexp	45.6279	1912
16	3000	2_Dminpl_Cexp	68.437	2801
16	4000	2_Dminpl_Cexp	94.9262	3634
16	5000	2_Dminpl_Cexp	115.385	4418
16	6000	2_Dminpl_Cexp	133.155	5172
16	7000	2_Dminpl_Cexp	138.146	5898
16	8000	2_Dminpl_Cexp	159.375	6586
16	9000	2_Dminpl_Cexp	173.831	7227
16	10000	2_Dminpl_Cexp	188.809	7836
