n	N	feature_type	time	unique
20	100	2_Dminpl_Cexp	0.480453	100
20	200	2_Dminpl_Cexp	0.654576	200
20	300	2_Dminpl_Cexp	0.683966	300
20	400	2_Dminpl_Cexp	1.10297	400
20	500	2_Dminpl_Cexp	1.00446	500
20	600	2_Dminpl_Cexp	1.33184	600
20	700	2_Dminpl_Cexp	1.63934	700
20	800	2_Dminpl_Cexp	1.65969	800
20	900	2_Dminpl_Cexp	1.61037	900
20	1000	2_Dminpl_Cexp	1.97168	1000
20	2000	2_Dminpl_Cexp	29.2146	1998
20	3000	2_Dminpl_Cexp	46.985	2994
20	4000	2_Dminpl_Cexp	62.3451	3991
20	5000	2_Dminpl_Cexp	81.063	4984
20	6000	2_Dminpl_Cexp	96.8056	5976
20	7000	2_Dminpl_Cexp	108.953	6969
20	8000	2_Dminpl_Cexp	126.401	7961
20	9000	2_Dminpl_Cexp	151.888	8944
20	10000	2_Dminpl_Cexp	162.069	9932
