n	N	feature_type	time	unique
18	100	2_Dminpl_Cexp	0.510999	100
18	200	2_Dminpl_Cexp	0.674689	200
18	300	2_Dminpl_Cexp	0.840802	300
18	400	2_Dminpl_Cexp	1.28485	400
18	500	2_Dminpl_Cexp	1.41617	499
18	600	2_Dminpl_Cexp	1.53462	599
18	700	2_Dminpl_Cexp	1.88228	698
18	800	2_Dminpl_Cexp	2.03717	798
18	900	2_Dminpl_Cexp	2.31884	898
18	1000	2_Dminpl_Cexp	2.14845	998
18	2000	2_Dminpl_Cexp	37.503	1988
18	3000	2_Dminpl_Cexp	61.203	2970
18	4000	2_Dminpl_Cexp	77.4148	3942
18	5000	2_Dminpl_Cexp	100.688	4898
18	6000	2_Dminpl_Cexp	122.478	5865
18	7000	2_Dminpl_Cexp	140.266	6816
18	8000	2_Dminpl_Cexp	156.378	7755
18	9000	2_Dminpl_Cexp	184.291	8669
18	10000	2_Dminpl_Cexp	205.139	9599
