n	N	feature_type	time	unique
17	100	2_Dminpl_Cexp	0.486168	99
17	200	2_Dminpl_Cexp	0.704902	199
17	300	2_Dminpl_Cexp	1.00927	298
17	400	2_Dminpl_Cexp	1.42622	398
17	500	2_Dminpl_Cexp	1.46937	497
17	600	2_Dminpl_Cexp	1.59537	595
17	700	2_Dminpl_Cexp	1.63355	692
17	800	2_Dminpl_Cexp	2.23691	790
17	900	2_Dminpl_Cexp	2.59129	890
17	1000	2_Dminpl_Cexp	2.72965	989
17	2000	2_Dminpl_Cexp	39.9762	1967
17	3000	2_Dminpl_Cexp	62.0619	2917
17	4000	2_Dminpl_Cexp	85.2843	3841
17	5000	2_Dminpl_Cexp	101.904	4747
17	6000	2_Dminpl_Cexp	127.318	5643
17	7000	2_Dminpl_Cexp	141.392	6511
17	8000	2_Dminpl_Cexp	163.848	7363
17	9000	2_Dminpl_Cexp	182.251	8188
17	10000	2_Dminpl_Cexp	198.217	9004
