n	N	feature_type	time	unique
200	100	1_Cexp	0.283143	100
200	200	1_Cexp	1.09709	200
200	300	1_Cexp	1.15577	300
200	400	1_Cexp	2.26224	400
200	500	1_Cexp	1.65933	500
200	600	1_Cexp	2.96419	600
200	700	1_Cexp	3.82505	700
200	800	1_Cexp	3.77488	800
200	900	1_Cexp	3.27394	900
200	1000	1_Cexp	3.99696	1000
200	2000	1_Cexp	71.2203	2000
200	3000	1_Cexp	112.759	3000
200	4000	1_Cexp	161.682	4000
200	5000	1_Cexp	205.125	5000
200	6000	1_Cexp	243.588	6000
200	7000	1_Cexp	292.242	7000
200	8000	1_Cexp	320.782	8000
200	9000	1_Cexp	385.215	9000
200	10000	1_Cexp	422.458	10000
