n	N	feature_type	time	unique
500	100	1_Cexp	0.711511	100
500	200	1_Cexp	0.93163	200
500	300	1_Cexp	1.32646	300
500	400	1_Cexp	2.00557	400
500	500	1_Cexp	2.57128	500
500	600	1_Cexp	3.02543	600
500	700	1_Cexp	3.17378	700
500	800	1_Cexp	3.63756	800
500	900	1_Cexp	3.86876	900
500	1000	1_Cexp	5.23403	1000
500	2000	1_Cexp	69.2637	2000
500	3000	1_Cexp	120.359	3000
500	4000	1_Cexp	170.49	4000
500	5000	1_Cexp	215.684	5000
500	6000	1_Cexp	247.405	6000
500	7000	1_Cexp	291.585	7000
500	8000	1_Cexp	330.202	8000
500	9000	1_Cexp	389.232	9000
500	10000	1_Cexp	408.245	10000
