n	N	feature_type	time	unique
14	100	1_Cexp	0.864839	97
14	200	1_Cexp	1.80777	189
14	300	1_Cexp	2.92718	275
14	400	1_Cexp	4.75001	363
14	500	1_Cexp	5.09313	455
14	600	1_Cexp	5.86428	539
14	700	1_Cexp	7.81616	622
14	800	1_Cexp	8.28808	698
14	900	1_Cexp	8.95703	774
14	1000	1_Cexp	8.73668	847
14	2000	1_Cexp	136.263	1473
14	3000	1_Cexp	172.097	1923
14	4000	1_Cexp	196.053	2249
14	5000	1_Cexp	208.974	2493
14	6000	1_Cexp	222.706	2685
14	7000	1_Cexp	220.644	2818
14	8000	1_Cexp	212.649	2913
14	9000	1_Cexp	225.227	2987
14	10000	1_Cexp	222.21	3038
