n	N	feature_type	time	unique
17	100	1_Cexp	0.793235	99
17	200	1_Cexp	1.73987	199
17	300	1_Cexp	3.0291	298
17	400	1_Cexp	4.01568	398
17	500	1_Cexp	4.64778	497
17	600	1_Cexp	5.84538	595
17	700	1_Cexp	6.34644	692
17	800	1_Cexp	8.58324	790
17	900	1_Cexp	10.019	890
17	1000	1_Cexp	10.6342	989
17	2000	1_Cexp	159.763	1967
17	3000	1_Cexp	267.887	2917
17	4000	1_Cexp	365.154	3841
17	5000	1_Cexp	450.939	4747
17	6000	1_Cexp	552.491	5643
17	7000	1_Cexp	625.771	6511
17	8000	1_Cexp	738.248	7363
17	9000	1_Cexp	819.104	8188
17	10000	1_Cexp	911.918	9004
