n	N	feature_type	time	unique
15	100	1_Cexp	0.679175	100
15	200	1_Cexp	2.00509	198
15	300	1_Cexp	3.1082	293
15	400	1_Cexp	4.75589	386
15	500	1_Cexp	5.76731	475
15	600	1_Cexp	6.66398	569
15	700	1_Cexp	9.12911	667
15	800	1_Cexp	8.67785	758
15	900	1_Cexp	10.5528	847
15	1000	1_Cexp	11.2328	927
15	2000	1_Cexp	170.626	1733
15	3000	1_Cexp	254.504	2451
15	4000	1_Cexp	310.381	3095
15	5000	1_Cexp	378.639	3674
15	6000	1_Cexp	402.473	4160
15	7000	1_Cexp	422.082	4575
15	8000	1_Cexp	431.328	4969
15	9000	1_Cexp	466.144	5316
15	10000	1_Cexp	460.638	5582
