n	N	feature_type	time	unique
16	100	1_Cexp	0.80957	100
16	200	1_Cexp	2.19732	197
16	300	1_Cexp	3.14578	296
16	400	1_Cexp	4.83524	394
16	500	1_Cexp	5.26965	493
16	600	1_Cexp	5.7479	589
16	700	1_Cexp	6.82388	687
16	800	1_Cexp	7.50136	786
16	900	1_Cexp	8.37829	881
16	1000	1_Cexp	10.4108	980
16	2000	1_Cexp	168.429	1912
16	3000	1_Cexp	264.785	2801
16	4000	1_Cexp	361.106	3634
16	5000	1_Cexp	451.952	4418
16	6000	1_Cexp	518.456	5172
16	7000	1_Cexp	542.944	5898
16	8000	1_Cexp	633.438	6586
16	9000	1_Cexp	723.288	7227
16	10000	1_Cexp	767.844	7836
