n	N	feature_type	time	unique
10	100	1_Cexp	1.05047	71
10	200	1_Cexp	1.37899	91
10	300	1_Cexp	1.28897	99
10	400	1_Cexp	1.39487	104
10	500	1_Cexp	1.32503	106
10	600	1_Cexp	1.36547	106
10	700	1_Cexp	1.50135	106
10	800	1_Cexp	1.24451	106
10	900	1_Cexp	1.31425	106
10	1000	1_Cexp	1.24227	106
10	2000	1_Cexp	12.1689	106
10	3000	1_Cexp	11.9571	106
10	4000	1_Cexp	11.104	106
10	5000	1_Cexp	11.4438	106
10	6000	1_Cexp	11.5998	106
10	7000	1_Cexp	11.8846	106
10	8000	1_Cexp	12.2002	106
10	9000	1_Cexp	11.6501	106
10	10000	1_Cexp	11.9476	106
