n	N	feature_type	time	unique
100	100	1_Cexp	0.385701	100
100	200	1_Cexp	0.691123	200
100	300	1_Cexp	1.30985	300
100	400	1_Cexp	1.96836	400
100	500	1_Cexp	2.72194	500
100	600	1_Cexp	2.45426	600
100	700	1_Cexp	3.79726	700
100	800	1_Cexp	3.95214	800
100	900	1_Cexp	4.92971	900
100	1000	1_Cexp	4.55236	1000
100	2000	1_Cexp	75.1895	2000
100	3000	1_Cexp	124.302	3000
100	4000	1_Cexp	163.098	4000
100	5000	1_Cexp	216.151	5000
100	6000	1_Cexp	252.72	6000
100	7000	1_Cexp	313.189	7000
100	8000	1_Cexp	349.073	8000
100	9000	1_Cexp	385.886	9000
100	10000	1_Cexp	441.391	10000
