n	N	feature_type	time	unique
20	100	1_Cexp	0.593442	100
20	200	1_Cexp	1.39729	200
20	300	1_Cexp	2.41982	300
20	400	1_Cexp	3.34618	400
20	500	1_Cexp	4.24566	500
20	600	1_Cexp	5.41262	600
20	700	1_Cexp	6.40912	700
20	800	1_Cexp	7.22945	800
20	900	1_Cexp	7.07426	900
20	1000	1_Cexp	8.89457	1000
20	2000	1_Cexp	143.743	1998
20	3000	1_Cexp	252.211	2994
20	4000	1_Cexp	345.462	3991
20	5000	1_Cexp	460.215	4984
20	6000	1_Cexp	546.33	5976
20	7000	1_Cexp	642.576	6969
20	8000	1_Cexp	744.865	7961
20	9000	1_Cexp	877.418	8944
20	10000	1_Cexp	969.844	9932
