n	N	feature_type	time	unique
12	100	1_Cexp	0.938635	95
12	200	1_Cexp	2.08819	174
12	300	1_Cexp	2.5795	232
12	400	1_Cexp	2.44997	286
12	500	1_Cexp	3.6561	334
12	600	1_Cexp	3.86787	367
12	700	1_Cexp	3.81103	393
12	800	1_Cexp	4.40543	417
12	900	1_Cexp	4.75772	438
12	1000	1_Cexp	4.56482	459
12	2000	1_Cexp	46.4348	532
12	3000	1_Cexp	48.9508	547
12	4000	1_Cexp	49.2732	551
12	5000	1_Cexp	48.169	551
12	6000	1_Cexp	48.6067	551
12	7000	1_Cexp	47.5394	551
12	8000	1_Cexp	48.6783	551
12	9000	1_Cexp	47.2972	551
12	10000	1_Cexp	48.3526	551
