n	N	feature_type	time	unique
11	100	1_Cexp	0.899903	84
11	200	1_Cexp	1.80757	131
11	300	1_Cexp	1.95489	173
11	400	1_Cexp	2.27335	197
11	500	1_Cexp	2.32667	211
11	600	1_Cexp	2.71204	221
11	700	1_Cexp	2.00593	227
11	800	1_Cexp	1.93743	231
11	900	1_Cexp	2.40512	232
11	1000	1_Cexp	2.16816	232
11	2000	1_Cexp	22.1197	235
11	3000	1_Cexp	22.3058	235
11	4000	1_Cexp	22.8791	235
11	5000	1_Cexp	21.589	235
11	6000	1_Cexp	23.0904	235
11	7000	1_Cexp	22.5779	235
11	8000	1_Cexp	21.0324	235
11	9000	1_Cexp	22.2479	235
11	10000	1_Cexp	21.9183	235
