n	N	feature_type	time	unique
18	100	1_Cexp	0.71356	100
18	200	1_Cexp	1.44503	200
18	300	1_Cexp	2.73488	300
18	400	1_Cexp	3.6965	400
18	500	1_Cexp	4.40354	499
18	600	1_Cexp	5.6232	599
18	700	1_Cexp	7.23827	698
18	800	1_Cexp	9.63981	798
18	900	1_Cexp	9.8046	898
18	1000	1_Cexp	11.2337	998
18	2000	1_Cexp	189.607	1988
18	3000	1_Cexp	298.532	2970
18	4000	1_Cexp	425.223	3942
18	5000	1_Cexp	552.299	4898
18	6000	1_Cexp	653.812	5865
18	7000	1_Cexp	760.955	6816
18	8000	1_Cexp	872.654	7755
18	9000	1_Cexp	1005.62	8669
18	10000	1_Cexp	1139.52	9599
