n	N	feature_type	time	unique
13	100	1_Cexp	0.717966	95
13	200	1_Cexp	1.95712	181
13	300	1_Cexp	2.8051	264
13	400	1_Cexp	3.37283	343
13	500	1_Cexp	4.21704	412
13	600	1_Cexp	5.53376	480
13	700	1_Cexp	4.59982	535
13	800	1_Cexp	6.25005	589
13	900	1_Cexp	6.44012	640
13	1000	1_Cexp	7.72342	693
13	2000	1_Cexp	87.8276	1025
13	3000	1_Cexp	95.637	1178
13	4000	1_Cexp	93.0648	1238
13	5000	1_Cexp	102.741	1268
13	6000	1_Cexp	96.7001	1284
13	7000	1_Cexp	97.9651	1294
13	8000	1_Cexp	103.875	1296
13	9000	1_Cexp	97.0319	1299
13	10000	1_Cexp	95.6657	1300
