n	N	feature_type	time	unique
13	100	2_Dminpl_Cvar	0.722851	95
13	200	2_Dminpl_Cvar	0.602155	181
13	300	2_Dminpl_Cvar	0.64203	264
13	400	2_Dminpl_Cvar	0.655514	343
13	500	2_Dminpl_Cvar	0.772868	412
13	600	2_Dminpl_Cvar	0.705112	480
13	700	2_Dminpl_Cvar	0.68085	535
13	800	2_Dminpl_Cvar	0.752429	589
13	900	2_Dminpl_Cvar	0.80916	640
13	1000	2_Dminpl_Cvar	0.839066	693
13	2000	2_Dminpl_Cvar	8.66763	1025
13	3000	2_Dminpl_Cvar	8.8854	1178
13	4000	2_Dminpl_Cvar	8.41271	1238
13	5000	2_Dminpl_Cvar	8.67605	1268
13	6000	2_Dminpl_Cvar	8.41216	1284
13	7000	2_Dminpl_Cvar	8.58977	1294
13	8000	2_Dminpl_Cvar	8.22817	1296
13	9000	2_Dminpl_Cvar	8.27449	1299
13	10000	2_Dminpl_Cvar	8.23137	1300
