n	N	feature_type	time	unique
200	100	2_Dminpl_Cvar	3.79852	100
200	200	2_Dminpl_Cvar	3.77025	200
200	300	2_Dminpl_Cvar	3.86951	300
200	400	2_Dminpl_Cvar	3.83518	400
200	500	2_Dminpl_Cvar	3.90717	500
200	600	2_Dminpl_Cvar	3.81105	600
200	700	2_Dminpl_Cvar	3.84725	700
200	800	2_Dminpl_Cvar	3.73864	800
200	900	2_Dminpl_Cvar	3.89043	900
200	1000	2_Dminpl_Cvar	3.87572	1000
200	2000	2_Dminpl_Cvar	38.2586	2000
200	3000	2_Dminpl_Cvar	38.8707	3000
200	4000	2_Dminpl_Cvar	38.3178	4000
200	5000	2_Dminpl_Cvar	38.7078	5000
200	6000	2_Dminpl_Cvar	38.6649	6000
200	7000	2_Dminpl_Cvar	38.4843	7000
200	8000	2_Dminpl_Cvar	38.8467	8000
200	9000	2_Dminpl_Cvar	39.0552	9000
200	10000	2_Dminpl_Cvar	38.9416	10000
