n	N	feature_type	time	unique
15	100	2_Dminpl_Cvar	0.634684	100
15	200	2_Dminpl_Cvar	0.588062	198
15	300	2_Dminpl_Cvar	0.642209	293
15	400	2_Dminpl_Cvar	0.641106	386
15	500	2_Dminpl_Cvar	0.681957	475
15	600	2_Dminpl_Cvar	0.612876	569
15	700	2_Dminpl_Cvar	0.792912	667
15	800	2_Dminpl_Cvar	0.74709	758
15	900	2_Dminpl_Cvar	0.683345	847
15	1000	2_Dminpl_Cvar	0.717763	927
15	2000	2_Dminpl_Cvar	7.18644	1733
15	3000	2_Dminpl_Cvar	8.06908	2451
15	4000	2_Dminpl_Cvar	8.00776	3095
15	5000	2_Dminpl_Cvar	8.64801	3674
15	6000	2_Dminpl_Cvar	9.14741	4160
15	7000	2_Dminpl_Cvar	9.35855	4575
15	8000	2_Dminpl_Cvar	9.83671	4969
15	9000	2_Dminpl_Cvar	9.6561	5316
15	10000	2_Dminpl_Cvar	9.89006	5582
