n	N	feature_type	time	unique
14	100	2_Dminpl_Cvar	0.680547	97
14	200	2_Dminpl_Cvar	0.618603	189
14	300	2_Dminpl_Cvar	0.622389	275
14	400	2_Dminpl_Cvar	0.655879	363
14	500	2_Dminpl_Cvar	0.632068	455
14	600	2_Dminpl_Cvar	0.7158	539
14	700	2_Dminpl_Cvar	0.596628	622
14	800	2_Dminpl_Cvar	0.786411	698
14	900	2_Dminpl_Cvar	0.665558	774
14	1000	2_Dminpl_Cvar	0.754698	847
14	2000	2_Dminpl_Cvar	7.44142	1473
14	3000	2_Dminpl_Cvar	8.06029	1923
14	4000	2_Dminpl_Cvar	8.88103	2249
14	5000	2_Dminpl_Cvar	8.55869	2493
14	6000	2_Dminpl_Cvar	8.75362	2685
14	7000	2_Dminpl_Cvar	8.74693	2818
14	8000	2_Dminpl_Cvar	8.77127	2913
14	9000	2_Dminpl_Cvar	8.97975	2987
14	10000	2_Dminpl_Cvar	9.28252	3038
