n	N	feature_type	time	unique
500	100	2_Dminpl_Cvar	8.72556	100
500	200	2_Dminpl_Cvar	8.88602	200
500	300	2_Dminpl_Cvar	9.30783	300
500	400	2_Dminpl_Cvar	8.93549	400
500	500	2_Dminpl_Cvar	8.93852	500
500	600	2_Dminpl_Cvar	8.92449	600
500	700	2_Dminpl_Cvar	8.79891	700
500	800	2_Dminpl_Cvar	8.80478	800
500	900	2_Dminpl_Cvar	9.06197	900
500	1000	2_Dminpl_Cvar	8.92018	1000
500	2000	2_Dminpl_Cvar	89.7401	2000
500	3000	2_Dminpl_Cvar	90.7658	3000
500	4000	2_Dminpl_Cvar	91.3717	4000
500	5000	2_Dminpl_Cvar	91.2338	5000
500	6000	2_Dminpl_Cvar	92.3057	6000
500	7000	2_Dminpl_Cvar	92.0348	7000
500	8000	2_Dminpl_Cvar	92.1887	8000
500	9000	2_Dminpl_Cvar	92.3682	9000
500	10000	2_Dminpl_Cvar	92.2614	10000
