n	N	feature_type	time	unique
50	100	2_Dminpl_Cvar	1.3769	100
50	200	2_Dminpl_Cvar	1.3004	200
50	300	2_Dminpl_Cvar	1.35012	300
50	400	2_Dminpl_Cvar	1.29189	400
50	500	2_Dminpl_Cvar	1.27725	500
50	600	2_Dminpl_Cvar	1.31274	600
50	700	2_Dminpl_Cvar	1.2837	700
50	800	2_Dminpl_Cvar	1.26226	800
50	900	2_Dminpl_Cvar	1.25031	900
50	1000	2_Dminpl_Cvar	1.27634	1000
50	2000	2_Dminpl_Cvar	12.3439	2000
50	3000	2_Dminpl_Cvar	12.6042	3000
50	4000	2_Dminpl_Cvar	12.6419	4000
50	5000	2_Dminpl_Cvar	12.9473	5000
50	6000	2_Dminpl_Cvar	12.8251	6000
50	7000	2_Dminpl_Cvar	13.028	7000
50	8000	2_Dminpl_Cvar	12.9013	8000
50	9000	2_Dminpl_Cvar	13.0399	9000
50	10000	2_Dminpl_Cvar	13.0052	10000
