n	N	feature_type	time	unique
16	100	2_Dminpl_Cvar	0.714962	100
16	200	2_Dminpl_Cvar	0.593941	197
16	300	2_Dminpl_Cvar	0.576303	296
16	400	2_Dminpl_Cvar	0.614043	394
16	500	2_Dminpl_Cvar	0.68114	493
16	600	2_Dminpl_Cvar	0.672506	589
16	700	2_Dminpl_Cvar	0.65564	687
16	800	2_Dminpl_Cvar	0.631643	786
16	900	2_Dminpl_Cvar	0.666253	881
16	1000	2_Dminpl_Cvar	0.682987	980
16	2000	2_Dminpl_Cvar	6.75511	1912
16	3000	2_Dminpl_Cvar	7.45978	2801
16	4000	2_Dminpl_Cvar	7.68152	3634
16	5000	2_Dminpl_Cvar	8.25744	4418
16	6000	2_Dminpl_Cvar	8.3136	5172
16	7000	2_Dminpl_Cvar	8.98477	5898
16	8000	2_Dminpl_Cvar	8.98578	6586
16	9000	2_Dminpl_Cvar	9.30191	7227
16	10000	2_Dminpl_Cvar	9.95211	7836
