n	N	feature_type	time	unique
100	100	2_Dminpl_Cvar	2.43173	100
100	200	2_Dminpl_Cvar	2.26937	200
100	300	2_Dminpl_Cvar	2.21349	300
100	400	2_Dminpl_Cvar	2.27107	400
100	500	2_Dminpl_Cvar	2.13012	500
100	600	2_Dminpl_Cvar	2.12692	600
100	700	2_Dminpl_Cvar	2.11066	700
100	800	2_Dminpl_Cvar	2.09098	800
100	900	2_Dminpl_Cvar	2.25845	900
100	1000	2_Dminpl_Cvar	2.24248	1000
100	2000	2_Dminpl_Cvar	22.1857	2000
100	3000	2_Dminpl_Cvar	21.9483	3000
100	4000	2_Dminpl_Cvar	22.1844	4000
100	5000	2_Dminpl_Cvar	21.9654	5000
100	6000	2_Dminpl_Cvar	21.9666	6000
100	7000	2_Dminpl_Cvar	22.2746	7000
100	8000	2_Dminpl_Cvar	22.3222	8000
100	9000	2_Dminpl_Cvar	22.1965	9000
100	10000	2_Dminpl_Cvar	22.0889	10000
