n	N	feature_type	time	unique
25	100	2_Dminpl_Cvar	0.958993	100
25	200	2_Dminpl_Cvar	0.87559	200
25	300	2_Dminpl_Cvar	0.880866	300
25	400	2_Dminpl_Cvar	0.976538	400
25	500	2_Dminpl_Cvar	0.972498	500
25	600	2_Dminpl_Cvar	0.815012	600
25	700	2_Dminpl_Cvar	0.896718	700
25	800	2_Dminpl_Cvar	0.842097	800
25	900	2_Dminpl_Cvar	0.817038	900
25	1000	2_Dminpl_Cvar	0.822454	1000
25	2000	2_Dminpl_Cvar	7.94692	2000
25	3000	2_Dminpl_Cvar	7.55067	3000
25	4000	2_Dminpl_Cvar	7.72501	4000
25	5000	2_Dminpl_Cvar	7.89455	5000
25	6000	2_Dminpl_Cvar	8.24006	6000
25	7000	2_Dminpl_Cvar	8.15786	7000
25	8000	2_Dminpl_Cvar	8.49089	8000
25	9000	2_Dminpl_Cvar	8.29959	9000
25	10000	2_Dminpl_Cvar	8.16085	10000
