n	N	feature_type	time	unique
12	100	2_Dminpl_Cvar	0.575229	95
12	200	2_Dminpl_Cvar	0.666789	174
12	300	2_Dminpl_Cvar	0.654717	232
12	400	2_Dminpl_Cvar	0.651843	286
12	500	2_Dminpl_Cvar	0.700377	334
12	600	2_Dminpl_Cvar	0.744464	367
12	700	2_Dminpl_Cvar	0.759192	393
12	800	2_Dminpl_Cvar	0.733321	417
12	900	2_Dminpl_Cvar	0.783935	438
12	1000	2_Dminpl_Cvar	0.794781	459
12	2000	2_Dminpl_Cvar	8.29223	532
12	3000	2_Dminpl_Cvar	8.32113	547
12	4000	2_Dminpl_Cvar	7.98204	551
12	5000	2_Dminpl_Cvar	7.98112	551
12	6000	2_Dminpl_Cvar	7.7875	551
12	7000	2_Dminpl_Cvar	7.93855	551
12	8000	2_Dminpl_Cvar	7.86792	551
12	9000	2_Dminpl_Cvar	7.83667	551
12	10000	2_Dminpl_Cvar	7.87238	551
