n	N	feature_type	time	unique
19	100	2_Dminpl_Cvar	0.695316	100
19	200	2_Dminpl_Cvar	0.663041	200
19	300	2_Dminpl_Cvar	0.66433	300
19	400	2_Dminpl_Cvar	0.709621	400
19	500	2_Dminpl_Cvar	0.695464	500
19	600	2_Dminpl_Cvar	0.677543	599
19	700	2_Dminpl_Cvar	0.679699	699
19	800	2_Dminpl_Cvar	0.650081	799
19	900	2_Dminpl_Cvar	0.638075	899
19	1000	2_Dminpl_Cvar	0.699669	999
19	2000	2_Dminpl_Cvar	6.72572	1993
19	3000	2_Dminpl_Cvar	6.98844	2984
19	4000	2_Dminpl_Cvar	6.9381	3976
19	5000	2_Dminpl_Cvar	7.20303	4963
19	6000	2_Dminpl_Cvar	7.26079	5946
19	7000	2_Dminpl_Cvar	7.70926	6928
19	8000	2_Dminpl_Cvar	7.87555	7902
19	9000	2_Dminpl_Cvar	7.84728	8874
19	10000	2_Dminpl_Cvar	8.10766	9843
