n	N	feature_type	time	unique
11	100	2_Dminpl_Cvar	0.594839	84
11	200	2_Dminpl_Cvar	0.659565	131
11	300	2_Dminpl_Cvar	0.65632	173
11	400	2_Dminpl_Cvar	0.691333	197
11	500	2_Dminpl_Cvar	0.711507	211
11	600	2_Dminpl_Cvar	0.685935	221
11	700	2_Dminpl_Cvar	0.733217	227
11	800	2_Dminpl_Cvar	0.723762	231
11	900	2_Dminpl_Cvar	0.778935	232
11	1000	2_Dminpl_Cvar	0.696918	232
11	2000	2_Dminpl_Cvar	7.39844	235
11	3000	2_Dminpl_Cvar	7.48243	235
11	4000	2_Dminpl_Cvar	7.55532	235
11	5000	2_Dminpl_Cvar	7.46975	235
11	6000	2_Dminpl_Cvar	7.51687	235
11	7000	2_Dminpl_Cvar	7.39142	235
11	8000	2_Dminpl_Cvar	7.41395	235
11	9000	2_Dminpl_Cvar	7.55465	235
11	10000	2_Dminpl_Cvar	7.44807	235
